"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 1",1,0,3039603,1,4,"__amd_rocclr_fillBufferAligned",1,188928862831053,188928862861933,0,0,16,0,128,256,1,1,12288,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3039603,2,13,"__amd_rocclr_copyBuffer",2,188929890625344,188929890632264,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3039603,3,13,"__amd_rocclr_copyBuffer",3,188929919054745,188929919060025,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3039603,4,13,"__amd_rocclr_copyBuffer",4,188929919084781,188929919088021,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3039603,5,13,"__amd_rocclr_copyBuffer",5,188929921559198,188929921562598,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3039603,6,13,"__amd_rocclr_copyBuffer",6,188929921583621,188929921586581,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3039603,7,13,"__amd_rocclr_copyBuffer",7,188929921636459,188929921639699,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3039603,8,13,"__amd_rocclr_copyBuffer",8,188929952339645,188929952344445,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3039603,9,13,"__amd_rocclr_copyBuffer",9,188929952726694,188929952730574,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3039603,10,13,"__amd_rocclr_copyBuffer",10,188929952753725,188929952757045,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3039603,11,13,"__amd_rocclr_copyBuffer",11,188929955415586,188929955419266,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3039603,12,13,"__amd_rocclr_copyBuffer",12,188929955442234,188929955445194,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3039603,13,13,"__amd_rocclr_copyBuffer",13,188929985744220,188929985749180,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3039603,14,13,"__amd_rocclr_copyBuffer",14,188929986122365,188929986126325,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3039603,15,13,"__amd_rocclr_copyBuffer",15,188929986148911,188929986152151,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3039603,16,13,"__amd_rocclr_copyBuffer",16,188929988664410,188929988667850,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3039603,17,13,"__amd_rocclr_copyBuffer",17,188929988689576,188929988692536,0,0,16,0,128,512,1,1,512,1,1
